repo,avgIssueLatency,nLinksOfProject,propOfWithinEcoLinks,propOfCrossEcoLinks
bradphelan/jasminerice,161.69921,21,0.047619048,0.142857143
bradphelan/rocket_tag,21.53926667,11,0.090909091,0
brainspec/enumerize,49.07330476,62,0.080645161,0.016129032
brandonhilkert/sucker_punch,8.03343077,51,0.274509804,0.019607843
BrandyMint/mashtime.ru,430.2521,13,0.076923077,0.153846154
brentd/xray-rails,87.19854286,27,0.074074074,0.037037037
brentm5/deploy-ninja,14.65075,9,0.111111111,0
brianfoshee/aquaponics-data,34.9685,22,0.045454545,0.181818182
brianmario/mysql2,130.1498509,459,0.106753813,0.039215686
brianmario/yajl-ruby,97.23275,28,0.25,0.178571429
brittlewis12/batman,14.1519,1,1,0
browsermedia/browsercms,266.5157467,54,0.037037037,0
BrowserSync/browser-sync,30.74641633,336,0.008928571,0.330357143
brynary/rack-test,153.2292333,58,0.137931034,0
bugsnag/bugsnag-ruby,65.39292273,100,0.09,0.02
bundler/bundler,128.5653686,4769,0.076955337,0.0387922
byroot/activerecord-typedstore,3.27833333,15,0.133333333,0
byroot/bootscale,0.5478,8,0.125,0
caelum/vraptor,162.4275192,73,0.02739726,0.164383562
cakephp/cakephp,47.14523318,4059,0.003202759,0.046563193
calagator/calagator,126.8337048,249,0.048192771,0.02811245
camertron/arel-helpers,7.41805,14,0.071428571,0.071428571
CanCanCommunity/cancancan,115.7929455,178,0.191011236,0.011235955
cantino/huginn,126.9639862,1038,0.044315992,0.032755299
capistrano/bundler,104.5365222,50,0.16,0.08
capistrano/capistrano,95.49164826,842,0.058194774,0.112826603
capistrano/rails,208.6650875,128,0.234375,0.0703125
carbonfive/raygun,141.0596615,31,0.129032258,0.225806452
carrierwaveuploader/carrierwave,52.50961509,1009,0.038652131,0.037661051
CartoDB/cartodb,43.43709421,5447,0.002386635,0.072700569
Casecommons/pg_search,240.757325,171,0.128654971,0.011695906
Casecommons/with_model,17.84482,8,0.75,0
caskroom/homebrew-cask,50.85830979,10030,0.091824526,0.197906281
cbeer/engine_cart,63.6566,12,0.333333333,0.083333333
ccocchi/libmemcached_store,305.3423,3,0.333333333,0.333333333
celluloid/celluloid,111.8023048,424,0.101415094,0.047169811
celluloid/nio4r,78.87886429,38,0.131578947,0.184210526
celluloid/reel,103.4760207,151,0.112582781,0.066225166
celsodantas/protokoll,12.700725,14,0.357142857,0
CenturyLinkLabs/panamax-api,10.62375,27,0.074074074,0.074074074
cequel/cequel,52.09082963,97,0.010309278,0.113402062
cerebris/jsonapi-resources,79.0267022,465,0.086021505,0.034408602
chancancode/activesupport-json_encoder,6.9994,1,1,0
chanks/que,40.22226897,77,0.272727273,0.038961039
charliesome/better_errors,60.98729524,116,0.120689655,0.025862069
charlotte-ruby/impressionist,116.6499778,42,0.214285714,0.023809524
chashmeetsingh/WebsocketSample,1.6462,1,1,0
chef/supermarket,86.86258,552,0.018115942,0.217391304
chriseppstein/compass,91.89130286,278,0.294964029,0.244604317
chrismccord/render_sync,244.6789,103,0.106796117,0.281553398
chrismo/clwiki,28.5615,2,1,0
churchio/onebody,67.89024384,201,0.034825871,0.014925373
civio/onodo,38.39798824,58,0.017241379,0.068965517
cldwalker/debugger,68.50821786,72,0.055555556,0.041666667
clear-code/sezemi-2015,2.35899231,65,0.092307692,0.815384615
CocoaPods/CocoaPods,61.34087982,3751,0.009597441,0.155158624
codahale/bcrypt-ruby,57.46726667,62,0.129032258,0.032258065
code-corps/deprecated-code-corps-rails-api,42.47494651,408,0.007352941,0.098039216
codefirst/AsakusaSatellite,59.72741667,18,0.111111111,0.111111111
codeforamerica/howto,24.7009,11,0.090909091,0.090909091
codeforamerica/ohana-api,102.2730347,116,0.086206897,0.275862069
codegram/date_validator,455.445,14,0.142857143,0
codegram/spinach,173.1715625,46,0.130434783,0.108695652
code-mancers/rapidfire,54.23053333,21,0.047619048,0
CodeMontageHQ/codemontage,125.1833971,225,0.017777778,0
codetriage/codetriage,64.85776957,200,0.12,0.025
codevise/pageflow,27.66942895,156,0.096153846,0.006410256
ColinDabritz/rails_lab_coat,4.5463,7,0.428571429,0
collectiveidea/acts_as_geocodable,55.8469,7,0.428571429,0.142857143
collectiveidea/audited,368.5621636,75,0.226666667,0.013333333
collectiveidea/awesome_nested_set,223.3127375,77,0.116883117,0.012987013
collectiveidea/delayed_job,379.9495275,222,0.13963964,0.063063063
collectiveidea/delayed_job_active_record,108.4023857,77,0.246753247,0
collectiveidea/fireside,0.13045,4,0.25,0
colszowka/simplecov,265.1842308,328,0.051829268,0.045731707
